iter	Passed	Remaining
0	1	167
1	3	152
2	4	144
3	5	134
4	6	132
5	8	130
6	9	129
7	11	128
8	12	127
9	13	125
10	15	123
11	16	122
12	18	120
13	19	119
14	20	118
15	22	116
16	23	115
17	25	114
18	26	112
19	27	111
20	29	109
21	30	109
22	32	108
23	33	106
24	34	104
25	36	103
26	37	101
27	38	100
28	40	98
29	41	96
30	42	95
31	44	94
32	45	92
33	46	91
34	48	89
35	49	88
36	50	86
37	52	85
38	53	83
39	54	82
40	56	80
41	56	78
42	58	77
43	59	76
44	61	74
45	62	73
46	63	71
47	65	70
48	66	69
49	67	67
50	68	66
51	70	64
52	71	63
53	72	62
54	73	60
55	75	58
56	76	57
57	77	56
58	79	54
59	80	53
60	81	52
61	82	50
62	84	49
63	85	48
64	86	46
65	88	45
66	89	44
67	90	42
68	92	41
69	93	40
70	94	38
71	96	37
72	97	36
73	98	34
74	100	33
75	101	32
76	102	30
77	104	29
78	105	28
79	106	26
80	108	25
81	109	24
82	110	22
83	112	21
84	113	20
85	114	18
86	116	17
87	117	15
88	118	14
89	119	13
90	121	11
91	122	10
92	123	9
93	125	7
94	126	6
95	127	5
96	128	3
97	130	2
98	131	1
99	133	0
